"NODC","RACE","NORPAC","NAME","IDLEVEL","MSVPA_PRED","MSVPA_PREY","ECOPATH_PRED","ECOPATH_PREY.x","GOAPOLL_PRED","GOAPOLL_PREY","BSIERP_PRED","BSIERP_PREY","NODC_CODE","BASE_NAME","LENFEST_NAME","WEBSITE_NAME","CRAB_TEAM","ECOPATH_PREY.y","EBS_CRAB","GOA_MED","HUDSON","EGOA","TROY","SSC_2023"
5105050801,71870,1,"Neptunea lyrata",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5105050801,"Neptunea lyrata","Gastropod","Gastropod","Gastropod","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5105050805,71820,1,"Neptunea pribiloffensis (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5105050805,"Neptunea pribiloffensis (snail)","Gastropod","Gastropod","Gastropod","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5105050810,71884,1,"Neptunea heros (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5105050810,"Neptunea heros (snail)","Gastropod","Gastropod","Gastropod","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5105050911,71893,1,"Plicifusus brunneus",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5105050911,"Plicifusus brunneus","Gastropod","Gastropod","Gastropod","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5108010200,NA,1,"Turbonilla sp. (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5108010200,"Turbonilla sp. (snail)","Gastropod","Gastropod","Gastropod","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5108999999,NA,1,"pelagic snails",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5108999999,"pelagic snails","Gastropod","Misc Mollusca","Gastropod","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5.109e+09,NA,1,"Pteropoda",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod",5.109e+09,"Pteropoda","Pteropoda","Pteropoda","Pteropoda","Pteropod","Oth.nonfish","Pred.zoop","zoop_other","Gelatinous_omnivores","zoop_other","zoop_other"
5110040200,NA,1,"Cylichna sp. (snail)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod",5110040200,"Cylichna sp. (snail)","Gastropod","Pteropoda","Pteropoda","Pteropod","Oth.nonfish","Pred.zoop","zoop_other","Gelatinous_omnivores","zoop_other","zoop_other"
5.113e+09,NA,1,"Thecosomata (pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod",5.113e+09,"Thecosomata (pteropod)","Pteropoda","Pteropoda","Pteropoda","Pteropod","Oth.nonfish","Pred.zoop","zoop_other","Gelatinous_omnivores","zoop_other","zoop_other"
5113010100,NA,1,"Limacina",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod",5113010100,"Limacina","Pteropoda","Pteropoda","Pteropoda","Pteropod","Oth.nonfish","Pred.zoop","zoop_other","Gelatinous_omnivores","zoop_other","zoop_other"
5113010102,NA,1,"Limacina helicina (pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod",5113010102,"Limacina helicina (pteropod)","Pteropoda","Pteropoda","Pteropoda","Pteropod","Oth.nonfish","Pred.zoop","zoop_other","Gelatinous_omnivores","zoop_other","zoop_other"
5.125e+09,NA,1,"Gymnosomata (pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod",5.125e+09,"Gymnosomata (pteropod)","Pteropoda","Pteropoda","Pteropoda","Pteropod","Oth.nonfish","Pred.zoop","zoop_other","Gelatinous_omnivores","zoop_other","zoop_other"
5125060100,NA,1,"Clione sp. (Pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod",5125060100,"Clione sp. (Pteropod)","Pteropoda","Pteropoda","Pteropoda","Pteropod","Oth.nonfish","Pred.zoop","zoop_other","Gelatinous_omnivores","zoop_other","zoop_other"
5125060101,NA,1,"Clione limacina (pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod",5125060101,"Clione limacina (pteropod)","Pteropoda","Pteropoda","Pteropoda","Pteropod","Oth.nonfish","Pred.zoop","zoop_other","Gelatinous_omnivores","zoop_other","zoop_other"
5.127e+09,71010,1,"Nudibranchia (sea slug)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5.127e+09,"Nudibranchia (sea slug)","Nudibranchia","Misc Mollusca","Other","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5.134e+09,NA,1,"Dendronotoidea (nudibranch)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5.134e+09,"Dendronotoidea (nudibranch)","Nudibranchia","Misc Mollusca","Other","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5.3e+09,70100,1,"Polyplacophora",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5.3e+09,"Polyplacophora","Polyplacophora","Misc Mollusca","Other","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5.4e+09,NA,1,"Aplacophora",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA",5.4e+09,"Aplacophora","Aplacophora","Misc Mollusca","Other","Snail","Epifauna","Motile.epifauna","benthos","Motile_epifauna","benthos","benthos"
5.5e+09,74000,1,"Bivalvia (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5.5e+09,"Bivalvia (clam)","General_Bivalvia","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5.502e+09,NA,1,"Nuculoida (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5.502e+09,"Nuculoida (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502020000,NA,1,"Nuculidae",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502020000,"Nuculidae","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502020200,74332,1,"Nucula sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502020200,"Nucula sp. (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502020201,74333,1,"Nucula tenuis (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502020201,"Nucula tenuis (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502040000,NA,1,"Nuculanidae (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502040000,"Nuculanidae (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502040200,74435,1,"Nuculana sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502040200,"Nuculana sp. (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502040203,74439,1,"Nuculana fossa (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502040203,"Nuculana fossa (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502040500,NA,1,"Yoldia sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502040500,"Yoldia sp. (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502040504,NA,1,"Yoldia scissurata (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502040504,"Yoldia scissurata (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502040510,NA,1,"Yoldia montereyensis (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502040510,"Yoldia montereyensis (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5502040600,NA,1,"Yoldiella sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5502040600,"Yoldiella sp. (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
5504010100,NA,1,"Solemya sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA",5504010100,"Solemya sp. (clam)","Nuculoida_clam","Bivalvia","Bivalvia","Clam","Epifauna","Infauna","benthos","Infauna","benthos","benthos"
