"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.ebs","SCIENTIFIC.ebs","COMMON.ebs","ECOPATH_Num.ebs","ECOPATH_Name.ebs","EXPLORE_Name.ebs","RACE.goa","SCIENTIFIC.goa","COMMON.goa","ECOPATH_Num.goa","ECOPATH_Name.goa","RACE.ai","SCIENTIFIC.ai","COMMON.ai","ECOPATH_Num.ai","ECOPATH_Name.ai","PHYLUM_TAXON","CLASS_TAXON","ORDER_TAXON","FAMILY_TAXON","GENUS_TAXON","SPECIES_TAXON","NODC","RACE","NORPAC","NAME","IDLEVEL","MSVPA_PRED","MSVPA_PREY","ECOPATH_PRED","ECOPATH_PREY.x","GOAPOLL_PRED","GOAPOLL_PREY","BSIERP_PRED","BSIERP_PREY","NODC_CODE","BASE_NAME","LENFEST_NAME","WEBSITE_NAME","CRAB_TEAM","ECOPATH_PREY.y","EBS_CRAB","GOA_MED","HUDSON","EGOA","TROY","SSC_2023"
41500,"Gorgonacea","gorgonian coral unid.",1988,41500,"Gorgonacea","gorgonian coral unident.",102,"corals","Corals",41500,"Gorgonacea","gorgonian coral unid.",97,"Corals",41500,"Gorgonacea","gorgonian coral unid.",98,"Corals","Cnidaria","Anthozoa",NA,NA,"Gorgonacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41520,"Primnoa sp.",NA,1984,NA,NA,NA,NA,NA,NA,41520,"Primnoa sp.","(blank)",97,"Corals",41520,"Primnoa sp.","",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Primnoidae","Primnoa",NA,6170040300,41520,1,"Primno sp. (amphipod)",0,NA,"MISC. PREY","Pel Amph","Pel Amph",NA,"Pel Amph",NA,"Pel Amph",6170040300,"Primno sp. (amphipod)","Hyperiidea","Hyperiidea","Amphipoda","Pel Amph","Amphipods","Pred.zoop","amphipods","Pelagic_amphipods","amphipods","amphipods"
41522,"Primnoa willeyi","red tree coral",1989,NA,NA,NA,NA,NA,NA,41522,"Primnoa willeyi","red tree coral",97,"Corals",41522,"Primnoa willeyi","red tree coral",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Primnoidae","Primnoa","willeyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41580,"Paragorgia sp.",NA,1984,41580,"Paragorgia sp.","(blank)",102,"corals","Corals",41580,"Paragorgia sp.","(blank)",97,"Corals",41580,"Paragorgia sp.","",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Paragorgiidae","Paragorgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41582,"Paragorgia arborea","Kamchatka coral",1989,41582,"Paragorgia arborea","Kamchatka coral",102,"corals","Corals",41582,"Paragorgia arborea","Kamchatka coral",97,"Corals",41582,"Paragorgia arborea","Kamchatka coral",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Paragorgiidae","Paragorgia","arborea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41600,"Callogorgia sp.",NA,1984,NA,NA,NA,NA,NA,NA,41600,"Callogorgia sp.","(blank)",97,"Corals",41600,"Callogorgia sp.","",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Primnoidae","Callogorgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42000,"Pennatulacea","sea whip or sea pen unid.",1988,42000,"Pennatulacea","sea pen or sea whip unident.",105,"sea_pens","Sea Pens",42000,"Pennatulacea","sea pen or sea whip unid.",100,"Sea Pens",42000,"Pennatulacea","sea pen or sea whip unid.",101,"Sea Pens","Cnidaria","Anthozoa","Pennatulacea",NA,NA,NA,3.752e+09,42000,1,"Pennatulacea (sea pen)",0,NA,"MISC. PREY","Sea Pens","Sea Pens",NA,"EPIFAUNA",NA,"EPIFAUNA",3.752e+09,"Pennatulacea (sea pen)","Anthozoa","Cnidaria","Other","Sea Pens","Epifauna","Structural.epifauna","benthos","Sessile_epifauna","benthos","benthos"
42001,"Virgularia sp.","smoothstem seawhip",1984,42001,"Virgularia sp.","smoothstem seawhip",105,"sea_pens","Sea Pens",42001,"Virgularia sp.","smoothstem seawhip",100,"Sea Pens",42001,"Virgularia sp.","smoothstem seawhip",101,"Sea Pens","Cnidaria","Anthozoa","Pennatulacea","Virgulariidae","Virgularia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42005,"Stylatula gracile","roughstem seawhip",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42005,"Stylatula gracile","Roughstem Seawhip",101,"Sea Pens","Cnidaria","Anthozoa","Pennatulacea","Virgulariidae","Stylatula","gracile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42008,"Halipteris sp.",NA,1984,42008,"Halipteris sp.","(blank)",105,"sea_pens","Sea Pens",42008,"Halipteris sp.","(blank)",100,"Sea Pens",42008,"Halipteris sp.","",101,"Sea Pens","Cnidaria","Anthozoa","Pennatulacea","Halipteridae","Halipteris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42010,"Halipteris finmarchia",NA,1984,NA,NA,NA,NA,NA,NA,42010,"Halipteris finmarchia","(blank)",100,"Sea Pens",NA,NA,NA,NA,NA,"Cnidaria","Anthozoa","Pennatulacea","Halipteridae","Halipteris","finmarchia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42017,"Ptilosarcus gurneyi","orange sea pen",1984,NA,NA,NA,NA,NA,NA,42017,"Ptilosarcus gurneyi","orange sea pen",100,"Sea Pens",42017,"Ptilosarcus gurneyi","orange sea pen",101,"Sea Pens","Cnidaria","Anthozoa","Pennatulacea","Pennatulidae","Ptilosarcus","gurneyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43000,"Actiniaria","sea anemone unid.",1988,43000,"Actiniaria","sea anemone unident.",101,"anemones","Anemones",43000,"Actiniaria","sea anemone unid.",96,"Anemones",43000,"Actiniaria","sea anemone unid.",97,"Anemones","Cnidaria","Anthozoa","Actiniaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43010,"Metridium sp.",NA,1984,43010,"Metridium sp.","(blank)",101,"anemones","Anemones",43010,"Metridium sp.","(blank)",96,"Anemones",43010,"Metridium sp.","",97,"Anemones","Cnidaria","Anthozoa","Actiniaria","Metridiidae","Metridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43020,"Metridium senile","clonal plumose anemone",1984,43020,"Metridium senile","clonal plumose anemone",101,"anemones","Anemones",43020,"Metridium senile","clonal plumose anemone",96,"Anemones",43020,"Metridium senile","clonal plumose anemone",97,"Anemones","Cnidaria","Anthozoa","Actiniaria","Metridiidae","Metridium","senile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43040,"Urticina sp.",NA,1984,43040,"Urticina sp.","(blank)",101,"anemones","Anemones",43040,"Urticina sp.","(blank)",96,"Anemones",43040,"Urticina sp.","",97,"Anemones","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Urticina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30320,"Sebastes maliger","quillback rockfish",1984,NA,NA,NA,NA,NA,NA,30320,"Sebastes maliger","quillback rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","maliger",8826010120,30320,343,"Sebastes maliger (quillback rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010120,"Sebastes maliger (quillback rockfish)","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Demersal_shelf_rockfish","fish_other","fish_other"
30330,"Sebastes melanops","black rockfish",1984,NA,NA,NA,NA,NA,NA,30330,"Sebastes melanops","black rockfish",66,"Other Sebastes",30330,"Sebastes melanops","black rockfish",67,"Other Sebastes","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","melanops",8826010121,30330,306,"Sebastes melanops (black rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010121,"Sebastes melanops (black rockfish)","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Black_rockfish","fish_other","fish_other"
30340,"Sebastes melanostomus","blackgill rockfish",1984,NA,NA,NA,NA,NA,NA,30340,"Sebastes melanostomus","blackgill rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","melanostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30350,"Sebastes miniatus","vermilion rockfish",1984,NA,NA,NA,NA,NA,NA,30350,"Sebastes miniatus","vermilion rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","miniatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30360,"Sebastes mystinus","blue rockfish",1984,NA,NA,NA,NA,NA,NA,30360,"Sebastes mystinus","blue rockfish",66,"Other Sebastes",30360,"Sebastes mystinus","blue rockfish",67,"Other Sebastes","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","mystinus",8826010124,30360,316,"Sebastes mystinus (blue rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010124,"Sebastes mystinus (blue rockfish)","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","MISC_NA","fish_other","fish_other"
30370,"Sebastes nebulosus","China rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","nebulosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30380,"Sebastes nigrocinctus","tiger rockfish",1984,NA,NA,NA,NA,NA,NA,30380,"Sebastes nigrocinctus","tiger rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","nigrocinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30390,"Sebastes ovalis","speckled rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","ovalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30400,"Sebastes paucispinis","bocaccio",1984,NA,NA,NA,NA,NA,NA,30400,"Sebastes paucispinis","bocaccio",66,"Other Sebastes",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","paucispinis",8826010127,30400,302,"Sebastes paucispinis (bocaccio)",0,NA,"MISC. PREY","Bocaccio","Bocaccio",NA,"ROCKFISH",NA,"ROCKFISH",8826010127,"Sebastes paucispinis (bocaccio)","Misc_rockfish","Sebastes","Sebastes","Bocaccio","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30410,"Sebastes pinniger","canary rockfish",1984,NA,NA,NA,NA,NA,NA,30410,"Sebastes pinniger","canary rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","pinniger",8826010128,30410,314,"Sebastes pinniger (canary rockfish)",0,NA,"MISC. PREY","Canary Rock","Canary Rock",NA,"ROCKFISH",NA,"ROCKFISH",8826010128,"Sebastes pinniger (canary rockfish)","Misc_rockfish","Sebastes","Sebastes","Canary Rock","Forage.fish","Rockfish","fish_other","Demersal_shelf_rockfish","fish_other","fish_other"
30420,"Sebastes polyspinis","northern rockfish",1984,30420,"Sebastes polyspinis","northern rockfish",65,"north_rockfish","Northern Rock",30420,"Sebastes polyspinis","northern rockfish",60,"Northern Rock",30420,"Sebastes polyspinis","northern rockfish",62,"Northern Rock","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","polyspinis",8826010129,30420,303,"Sebastes polyspinis (northern rockfish)",0,NA,"MISC. PREY","Northern Rock","Northern Rock",NA,"ROCKFISH",NA,"ROCKFISH",8826010129,"Sebastes polyspinis (northern rockfish)","Northern_rockfish","Sebastes","Sebastes","Northern Rock","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30430,"Sebastes proriger","redstripe rockfish",1984,NA,NA,NA,NA,NA,NA,30430,"Sebastes proriger","redstripe rockfish",66,"Other Sebastes",30430,"Sebastes proriger","redstripe rockfish",67,"Other Sebastes","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","proriger",8826010130,30430,324,"Sebastes proriger (redstripe rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010130,"Sebastes proriger (redstripe rockfish)","redstripe_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30460,"Sebastes rosaceus","rosy rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","rosaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30470,"Sebastes ruberrimus","yelloweye rockfish",1984,NA,NA,NA,NA,NA,NA,30470,"Sebastes ruberrimus","yelloweye rockfish",66,"Other Sebastes",30470,"Sebastes ruberrimus","yelloweye rockfish",67,"Other Sebastes","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","ruberrimus",8826010134,30470,322,"Sebastes ruberrimus (yelloweye rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010134,"Sebastes ruberrimus (yelloweye rockfish)","yelloweye_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Demersal_shelf_rockfish","fish_other","fish_other"
30475,"Sebastes babcocki","redbanded rockfish",1984,NA,NA,NA,NA,NA,NA,30475,"Sebastes babcocki","redbanded rockfish",66,"Other Sebastes",30475,"Sebastes babcocki","redbanded rockfish",67,"Other Sebastes","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","babcocki",8826010105,30475,308,"Sebastes babcocki (redbanded rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010105,"Sebastes babcocki (redbanded rockfish)","redbanded_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30480,"Sebastes rubrivinctus","flag rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","rubrivinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30490,"Sebastes saxicola","stripetail rockfish",1984,NA,NA,NA,NA,NA,NA,30490,"Sebastes saxicola","stripetail rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","saxicola",8826010135,30490,328,"Sebastes saxicola (stripetail rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010135,"Sebastes saxicola (stripetail rockfish)","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30500,"Sebastes semicinctus","halfbanded rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","semicinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30510,"Sebastes serranoides","olive rockfish",1984,NA,NA,NA,NA,NA,NA,30510,"Sebastes serranoides","olive rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","serranoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30535,"Sebastes variegatus","harlequin rockfish",1984,30535,"Sebastes variegatus","harlequin rockfish",0,"sebastes","Sebastes",30535,"Sebastes variegatus","harlequin rockfish",66,"Other Sebastes",30535,"Sebastes variegatus","harlequin rockfish",67,"Other Sebastes","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","variegatus",8826010136,30535,323,"Sebastes variegatus (harlequin rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010136,"Sebastes variegatus (harlequin rockfish)","harlequin_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30540,"Sebastes vexillaris","whitebelly rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","vexillaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
