"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.x","SCIENTIFIC.x","COMMON.x","ECOPATH_Num.x","ECOPATH_Name.x","EXPLORE_Name","RACE.y","SCIENTIFIC.y","COMMON.y","ECOPATH_Num.y","ECOPATH_Name.y","NODC","RACE","NORPAC","NAME","IDLEVEL","MSVPA_PRED","MSVPA_PREY","ECOPATH_PRED","ECOPATH_PREY.x","GOAPOLL_PRED","GOAPOLL_PREY","BSIERP_PRED","BSIERP_PREY","NODC_CODE","BASE_NAME","LENFEST_NAME","WEBSITE_NAME","CRAB_TEAM","ECOPATH_PREY.y","EBS_CRAB","GOA_MED","HUDSON","EGOA","TROY","SSC_2023"
30410,"Sebastes pinniger","canary rockfish",1984,NA,NA,NA,NA,NA,NA,30410,"Sebastes pinniger","canary rockfish",66,"Other Sebastes",8826010128,30410,314,"Sebastes pinniger (canary rockfish)",0,NA,"MISC. PREY","Canary Rock","Canary Rock",NA,"ROCKFISH",NA,"ROCKFISH",8826010128,"Sebastes pinniger (canary rockfish)","Misc_rockfish","Sebastes","Sebastes","Canary Rock","Forage.fish","Rockfish","fish_other","Demersal_shelf_rockfish","fish_other","fish_other"
30420,"Sebastes polyspinis","northern rockfish",1984,30420,"Sebastes polyspinis","northern rockfish",65,"north_rockfish","Northern Rock",30420,"Sebastes polyspinis","northern rockfish",60,"Northern Rock",8826010129,30420,303,"Sebastes polyspinis (northern rockfish)",0,NA,"MISC. PREY","Northern Rock","Northern Rock",NA,"ROCKFISH",NA,"ROCKFISH",8826010129,"Sebastes polyspinis (northern rockfish)","Northern_rockfish","Sebastes","Sebastes","Northern Rock","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30430,"Sebastes proriger","redstripe rockfish",1984,NA,NA,NA,NA,NA,NA,30430,"Sebastes proriger","redstripe rockfish",66,"Other Sebastes",8826010130,30430,324,"Sebastes proriger (redstripe rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010130,"Sebastes proriger (redstripe rockfish)","redstripe_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30460,"Sebastes rosaceus","rosy rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30470,"Sebastes ruberrimus","yelloweye rockfish",1984,NA,NA,NA,NA,NA,NA,30470,"Sebastes ruberrimus","yelloweye rockfish",66,"Other Sebastes",8826010134,30470,322,"Sebastes ruberrimus (yelloweye rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010134,"Sebastes ruberrimus (yelloweye rockfish)","yelloweye_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Demersal_shelf_rockfish","fish_other","fish_other"
30475,"Sebastes babcocki","redbanded rockfish",1984,NA,NA,NA,NA,NA,NA,30475,"Sebastes babcocki","redbanded rockfish",66,"Other Sebastes",8826010105,30475,308,"Sebastes babcocki (redbanded rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010105,"Sebastes babcocki (redbanded rockfish)","redbanded_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30480,"Sebastes rubrivinctus","flag rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30490,"Sebastes saxicola","stripetail rockfish",1984,NA,NA,NA,NA,NA,NA,30490,"Sebastes saxicola","stripetail rockfish",66,"Other Sebastes",8826010135,30490,328,"Sebastes saxicola (stripetail rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010135,"Sebastes saxicola (stripetail rockfish)","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30500,"Sebastes semicinctus","halfbanded rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30510,"Sebastes serranoides","olive rockfish",1984,NA,NA,NA,NA,NA,NA,30510,"Sebastes serranoides","olive rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30535,"Sebastes variegatus","harlequin rockfish",1984,30535,"Sebastes variegatus","harlequin rockfish",0,"sebastes","Sebastes",30535,"Sebastes variegatus","harlequin rockfish",66,"Other Sebastes",8826010136,30535,323,"Sebastes variegatus (harlequin rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010136,"Sebastes variegatus (harlequin rockfish)","harlequin_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30540,"Sebastes vexillaris","whitebelly rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30550,"Sebastes wilsoni","pygmy rockfish",1984,NA,NA,NA,NA,NA,NA,30550,"Sebastes wilsoni","pygmy rockfish",66,"Other Sebastes",8826010137,30550,NA,"pygmy rockfish Sebastes wilsoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,8826010137,"pygmy rockfish Sebastes wilsoni","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30560,"Sebastes zacentrus","sharpchin rockfish",1984,NA,NA,NA,NA,NA,NA,30560,"Sebastes zacentrus","sharpchin rockfish",59,"Sharpchin Rock",8826010138,30560,304,"Sebastes zacentrus (sharpchin rockfish)",0,NA,"MISC. PREY","Sharpchin Rock","Sharpchin Rock",NA,"ROCKFISH",NA,"ROCKFISH",8826010138,"Sebastes zacentrus (sharpchin rockfish)","Sharpchin_rockfish","Sebastes","Sebastes","Sharpchin Rock","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30570,"Sebastes phillipsi","chameleon rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30575,"Sebastes rufus","bank rockfish",1984,NA,NA,NA,NA,NA,NA,30575,"Sebastes rufus","bank rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30576,"Sebastes borealis","shortraker rockfish",1984,NA,NA,NA,NA,NA,NA,30576,"Sebastes borealis","shortraker rockfish",62,"Shortraker Rock",8826010107,30576,326,"Sebastes borealis (shortraker rockfish)",0,NA,"MISC. PREY","Shortraker Rock","Shortraker Rock",NA,"ROCKFISH",NA,"ROCKFISH",8826010107,"Sebastes borealis (shortraker rockfish)","shortraker_rockfish","Sebastes","Sebastes","Shortraker Rock","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30580,NA,"black rockfish unid.",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30590,NA,"red rockfish unid.",1984,NA,NA,NA,NA,NA,NA,30590,"(blank)","red rockfish unid.",66,"Other Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30600,"Sebastes reedi","yellowmouth rockfish",1984,NA,NA,NA,NA,NA,NA,30600,"Sebastes reedi","yellowmouth rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30611,"Sebastes rosenblatti","greenblotched rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30030,"Sebastolobus altivelis","longspine thornyhead",1984,NA,NA,NA,NA,NA,NA,30030,"Sebastolobus altivelis","longspine thornyhead",66,"Other Sebastes",8826010202,30030,352,"Sebastolobus altivelis (longspine thornyhead)",0,NA,"MISC. PREY","Longsp Thorny","Longsp Thorny",NA,"ROCKFISH",NA,"ROCKFISH",8826010202,"Sebastolobus altivelis (longspine thornyhead)","Thornyheads","Sebastelobus","Sebastelobus","Longsp Thorny","Forage.fish","Rockfish","fish_other","Thornyheads","fish_other","fish_other"
30040,"Sebastes sp.","rockfish unid.",1984,30040,"Sebastes sp.","rockfish unident.",0,"gen_sebastes","Gen. Sebastes",30040,"Sebastes sp.","rockfish unid.",66,"Other Sebastes",8826010100,30040,300,"Sebastes sp. (rockfish)",0,NA,"MISC. PREY","Gen. Sebastes","Gen. Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010100,"Sebastes sp. (rockfish)","General_rockfish","Sebastes","Sebastes","Gen. Sebastes","Forage.fish","Rockfish","fish_other","MISC_NA","fish_other","fish_other"
30050,NA,"rougheye and blackspotted rockfish unid.",1984,30050,"(blank)","rougheye and blackspotted rockfish unid.",68,"rougheye_rock","Rougheye Rock",30050,"(blank)","rougheye and blackspotted rockfish unid.",63,"Rougheye Rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30060,"Sebastes alutus","Pacific ocean perch",1984,30060,"Sebastes alutus","Pacific ocean perch",63,"pac_ocean_perch","POP",30060,"Sebastes alutus","Pacific ocean perch",58,"POP",8826010102,30060,301,"Sebastes alutus (Pacific ocean perch)",0,NA,"MISC. PREY","POP","POP",NA,"ROCKFISH",NA,"ROCKFISH",8826010102,"Sebastes alutus (Pacific ocean perch)","POP","Sebastes","Sebastes","POP","Forage.fish","Rockfish","fish_other","POP","fish_other","fish_other"
30080,"Sebastes auriculatus","brown rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30090,"Sebastes aurora","aurora rockfish",1984,NA,NA,NA,NA,NA,NA,30090,"Sebastes aurora","aurora rockfish",66,"Other Sebastes",8826010104,30090,334,"Sebastes aurora (aurora rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010104,"Sebastes aurora (aurora rockfish)","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30100,"Sebastes brevispinis","silvergray rockfish",1984,NA,NA,NA,NA,NA,NA,30100,"Sebastes brevispinis","silvergray rockfish",66,"Other Sebastes",8826010106,30100,310,"Sebastes brevispinis (silvergray rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010106,"Sebastes brevispinis (silvergray rockfish)","silvergray_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
30110,"Sebastes carnatus","gopher rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30120,"Sebastes caurinus","copper rockfish",1984,NA,NA,NA,NA,NA,NA,30120,"Sebastes caurinus","copper rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30130,"Sebastes chlorostictus","greenspotted rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8826010143,30130,339,"Sebastes chlorostictus",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010143,"Sebastes chlorostictus","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","MISC_NA","fish_other","fish_other"
