"year","model","predator","pred_stage","prey","samples","freq_juv","freq_adu","prey_wt_juv","prey_wt_adu","prop_juv_bywt"
1990,"WGOA","Walleye_pollock","adu","Walleye_pollock",30,30,0,35.5790471516573,0,1
1990,"WGOA","Walleye_pollock","juv","Arrowtooth_flounder",1,1,0,0.0485800761707806,0,1
1993,"EGOA","Arrowtooth_flounder","adu","Walleye_pollock",2,2,0,7.32060191795899,0,1
1993,"EGOA","Pacific_cod","adu","Arrowtooth_flounder",1,0,1,0,123.267373576102,0
1993,"EGOA","Pacific_cod","adu","Walleye_pollock",3,2,1,3.97885680549461,470.231574821936,0.00839048772469993
1993,"EGOA","Pacific_halibut","adu","Walleye_pollock",3,1,2,95.6953359455395,637.568463548961,0.130506014358694
1993,"EGOA","Sablefish","adu","Walleye_pollock",4,3,1,339.930042249087,265.809699276423,0.561181674151013
1993,"EGOA","Slope_rockfish","adu","Walleye_pollock",1,1,0,1.16390450985895,0,1
1993,"EGOA","Walleye_pollock","adu","Walleye_pollock",1,1,0,1.04009707659059,0,1
1993,"WGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",4,3,1,24.9727549895125,100.339261561503,0.199284599169673
1993,"WGOA","Arrowtooth_flounder","adu","Pacific_cod",1,1,0,56.9073021991943,0,1
1993,"WGOA","Arrowtooth_flounder","adu","Rex_sole",1,1,0,2.80471778532892,0,1
1993,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",36,29,7,233.607559074445,2897.75976226233,0.0746024132916858
1993,"WGOA","Arrowtooth_flounder","juv","Walleye_pollock",2,2,0,0.0885160198205014,0,1
1993,"WGOA","Flathead_sole","adu","Walleye_pollock",8,8,0,6.12604167723301,0,1
1993,"WGOA","Pacific_cod","adu","Arrowtooth_flounder",7,7,0,215.704868427966,0,1
1993,"WGOA","Pacific_cod","adu","Flathead_sole",8,7,1,130.901198246176,66.333432226014,0.663682629834282
1993,"WGOA","Pacific_cod","adu","Walleye_pollock",69,25,44,1210.11220909055,16983.115798009,0.0665144310079735
1993,"WGOA","Pacific_cod","juv","Walleye_pollock",3,3,0,19.4031088840151,0,1
1993,"WGOA","Pacific_halibut","adu","Arrowtooth_flounder",4,0,4,0,1297.90372607664,0
1993,"WGOA","Pacific_halibut","adu","Pacific_cod",4,0,4,0,3061.28342993797,0
1993,"WGOA","Pacific_halibut","adu","Sablefish",1,1,0,70.3228809715506,0,1
1993,"WGOA","Pacific_halibut","adu","Walleye_pollock",95,39,56,488.090037676815,30546.5348684784,0.0157272736226953
1993,"WGOA","Sablefish","adu","Arrowtooth_flounder",1,0,1,0,104.452591706971,0
1993,"WGOA","Sablefish","adu","Walleye_pollock",36,14,22,1559.96315906171,6733.99617327645,0.188084254642944
1993,"WGOA","Walleye_pollock","adu","Arrowtooth_flounder",5,5,0,1.26784425521379,0,1
1993,"WGOA","Walleye_pollock","adu","Walleye_pollock",9,9,0,52.8250763084652,0,1
1996,"EGOA","Arrowtooth_flounder","adu","Walleye_pollock",1,1,0,196.822281824397,0,1
1996,"WGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",14,12,2,46.3915111848836,507.445130096947,0.0837638894340983
1996,"WGOA","Arrowtooth_flounder","adu","Flathead_sole",5,4,1,12.1676645200068,127.332759266017,0.0872231366025847
1996,"WGOA","Arrowtooth_flounder","adu","Pacific_cod",2,1,1,212.335866558416,600.265193677222,0.26130394968577
1996,"WGOA","Arrowtooth_flounder","adu","Pacific_halibut",2,2,0,1.27993430611959,0,1
1996,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",723,670,53,31637.5600208863,23870.1558285656,0.569966887246698
1996,"WGOA","Arrowtooth_flounder","juv","Walleye_pollock",16,16,0,8.73915785884193,0,1
1996,"WGOA","Pacific_cod","adu","Arrowtooth_flounder",2,1,1,1.82095608114712,328.762865600029,0.00550830367888751
1996,"WGOA","Pacific_cod","adu","Pacific_halibut",4,4,0,1.37483122858632,0,1
1996,"WGOA","Pacific_cod","adu","Walleye_pollock",52,22,30,824.093159050315,15729.9759491813,0.0497819088263035
1996,"WGOA","Pacific_cod","juv","Walleye_pollock",1,1,0,0.0595046077147308,0,1
1996,"WGOA","Pacific_halibut","adu","Arrowtooth_flounder",3,2,1,36.6269864605211,344.186199080663,0.0961809828314361
1996,"WGOA","Pacific_halibut","adu","Pacific_cod",1,1,0,92.7341806215135,0,1
1996,"WGOA","Pacific_halibut","adu","Walleye_pollock",99,69,30,2854.70759120923,21035.2731823047,0.119493925854229
1996,"WGOA","Pacific_sleeper_shark","adu","Arrowtooth_flounder",2,0,2,0,1871.72277338355,0
1996,"WGOA","Sablefish","adu","Walleye_pollock",1,1,0,19.5042310269616,0,1
1996,"WGOA","Shallow-water_flatfish","adu","Pacific_cod",1,1,0,0.595840626205247,0,1
1996,"WGOA","Shallow-water_flatfish","adu","Pacific_halibut",1,1,0,0.0622274151839031,0,1
1996,"WGOA","Walleye_pollock","adu","Arrowtooth_flounder",10,10,0,0.3848074251063,0,1
1996,"WGOA","Walleye_pollock","adu","Walleye_pollock",16,16,0,241.106997167748,0,1
1996,"WGOA","Walleye_pollock","juv","Walleye_pollock",3,3,0,2.42267056400574,0,1
1999,"WGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",2,1,1,5.05975563570017,141.582203820749,0.0345041463879433
1999,"WGOA","Arrowtooth_flounder","adu","Flathead_sole",2,1,1,6.27060265096811,102.459584218701,0.0576712211346096
1999,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",18,14,4,462.440994677428,1826.05092041439,0.202072374225047
1999,"WGOA","Large_sculpins","adu","Arrowtooth_flounder",1,0,1,0,141.582203820749,0
1999,"WGOA","Pacific_cod","adu","Arrowtooth_flounder",3,3,0,67.5611121167396,0,1
1999,"WGOA","Pacific_cod","adu","Flathead_sole",2,2,0,26.3307062305839,0,1
1999,"WGOA","Pacific_cod","adu","Walleye_pollock",17,1,16,39.9627144375618,10222.7544316799,0.00389397017072427
1999,"WGOA","Pacific_halibut","adu","Arrowtooth_flounder",1,1,0,50.2941818011578,0,1
1999,"WGOA","Pacific_halibut","adu","Pacific_halibut",1,1,0,0.862275986135275,0,1
1999,"WGOA","Pacific_halibut","adu","Walleye_pollock",4,2,2,32.6731274097048,994.242511639083,0.031816759008529
1999,"WGOA","Sablefish","adu","Walleye_pollock",1,1,0,32.0449309468534,0,1
1999,"WGOA","Shelf_demersals","adu","Pacific_halibut",3,3,0,0.151482248251514,0,1
1999,"WGOA","Walleye_pollock","adu","Walleye_pollock",1,1,0,6.46555534504344,0,1
2001,"WGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",4,3,1,107.665436399434,178.682264496917,0.375995463076567
2001,"WGOA","Arrowtooth_flounder","adu","Thornyheads",2,0,2,0,337.574666741669,0
2001,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",151,137,14,8772.23466281375,7038.76149688879,0.554818594237062
2001,"WGOA","Arrowtooth_flounder","juv","Walleye_pollock",1,1,0,1.11462352273376,0,1
2001,"WGOA","Pacific_cod","adu","Walleye_pollock",4,4,0,356.969462492017,0,1
2001,"WGOA","Pacific_cod","juv","Walleye_pollock",1,1,0,4.50029816063717,0,1
2001,"WGOA","Pacific_halibut","adu","Arrowtooth_flounder",7,4,3,156.484531192669,1393.53018543243,0.100956803515639
2001,"WGOA","Pacific_halibut","adu","Flathead_sole",2,0,2,0,298.312367744651,0
2001,"WGOA","Pacific_halibut","adu","POP",3,0,3,0,1517.27651446756,0
2001,"WGOA","Pacific_halibut","adu","Pacific_cod",2,1,1,345.438709781024,487.65111607475,0.414647615491138
2001,"WGOA","Pacific_halibut","adu","Walleye_pollock",133,90,43,3556.22096012764,23381.1373917558,0.132018177642835
2001,"WGOA","Sablefish","adu","POP",1,0,1,0,328.413674084821,0
2001,"WGOA","Sablefish","adu","Thornyheads",2,0,2,0,182.527709267989,0
2001,"WGOA","Sablefish","adu","Walleye_pollock",12,12,0,748.918716164404,0,1
2001,"WGOA","Thornyheads","adu","Thornyheads",1,0,1,0,9.57067857072367,0
2001,"WGOA","Walleye_pollock","adu","Arrowtooth_flounder",2,2,0,32.9984759445988,0,1
2001,"WGOA","Walleye_pollock","adu","Flathead_sole",1,1,0,1.52244836334857,0,1
2001,"WGOA","Walleye_pollock","adu","Walleye_pollock",9,9,0,300.579272360694,0,1
2001,"WGOA","Walleye_pollock","juv","Walleye_pollock",1,1,0,1.45255943041327,0,1
2003,"EGOA","Arrowtooth_flounder","adu","Walleye_pollock",4,3,1,98.6816286771006,260.975035374595,0.274377311865731
2003,"WGOA","Arrowtooth_flounder","adu","Pacific_cod",1,1,0,62.9322681237058,0,1
2003,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",35,7,28,343.719418768206,11929.233805312,0.028006251836258
2003,"WGOA","Big_skate","adu","Pacific_cod",1,0,1,0,1764.29745558108,0
2003,"WGOA","Big_skate","adu","Walleye_pollock",1,0,1,0,399.582191300819,0
2003,"WGOA","Other_skates","adu","Walleye_pollock",2,2,0,186.532154371536,0,1
2003,"WGOA","Pacific_cod","adu","Flathead_sole",1,1,0,0.932943060133071,0,1
2003,"WGOA","Pacific_cod","adu","Walleye_pollock",6,4,2,234.00368816932,790.124748688817,0.22849056792838
2003,"WGOA","Pacific_halibut","adu","Walleye_pollock",14,2,12,341.501006863711,5082.95997599247,0.0629557495100459
2003,"WGOA","Sablefish","adu","Walleye_pollock",30,14,16,1462.98248097778,5218.2452724906,0.218969107918572
2003,"WGOA","Walleye_pollock","adu","Walleye_pollock",2,2,0,73.7996428328961,0,1
2005,"EGOA","Arrowtooth_flounder","adu","Walleye_pollock",4,4,0,191.237020263778,0,1
2005,"EGOA","Pacific_cod","adu","Arrowtooth_flounder",3,3,0,0.455433260588744,0,1
2005,"EGOA","Pacific_halibut","adu","POP",1,0,1,0,574.294702957065,0
2005,"EGOA","Pacific_halibut","adu","Sablefish",4,4,0,161.465431606781,0,1
2005,"EGOA","Pacific_halibut","adu","Thornyheads",4,0,4,0,176.577797896911,0
2005,"EGOA","Pacific_halibut","adu","Walleye_pollock",4,3,1,124.441799583597,244.341085648773,0.337439194080784
2005,"WGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",1,1,0,9.50202031584823,0,1
2005,"WGOA","Arrowtooth_flounder","adu","Pacific_cod",1,1,0,148.821540655171,0,1
2005,"WGOA","Arrowtooth_flounder","adu","Rex_sole",1,0,1,0,164.826972839311,0
2005,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",10,1,9,125.961632929215,4078.07244908336,0.0299620865273561
2005,"WGOA","Big_skate","adu","Arrowtooth_flounder",6,4,2,1.46765585603992,145.898605094115,0.00995923928976073
2005,"WGOA","Big_skate","adu","Walleye_pollock",1,0,1,0,624.586036113344,0
2005,"WGOA","Other_skates","adu","Arrowtooth_flounder",2,1,1,0.462038789875813,245.979338628941,0.00187484258818517
2005,"WGOA","Other_skates","adu","Walleye_pollock",4,4,0,65.8364246982407,0,1
2005,"WGOA","Pacific_cod","adu","Flathead_sole",1,1,0,3.82006886880868,0,1
2005,"WGOA","Pacific_cod","adu","Walleye_pollock",3,2,1,69.3399199160907,1038.46764709568,0.062592025890498
2005,"WGOA","Pacific_halibut","adu","Flathead_sole",1,0,1,0,144.847733224245,0
2005,"WGOA","Pacific_halibut","adu","Pacific_cod",1,1,0,148.821540655171,0,1
2005,"WGOA","Pacific_halibut","adu","Walleye_pollock",7,0,7,0,3626.97073764917,0
2005,"WGOA","Sablefish","adu","Thornyheads",1,0,1,0,515.359591060439,0
2005,"WGOA","Slope_rockfish","adu","Arrowtooth_flounder",1,1,0,0.428363826906445,0,1
2007,"EGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",2,0,2,0,220.881070066491,0
2007,"EGOA","Arrowtooth_flounder","adu","Pacific_cod",1,1,0,12.5085100231975,0,1
2007,"EGOA","Arrowtooth_flounder","adu","Walleye_pollock",13,12,1,62.9138246594815,379.696720707896,0.14214262474759
2007,"EGOA","Pacific_halibut","adu","POP",1,0,1,0,129.358849148645,0
2007,"EGOA","Pacific_halibut","adu","Thornyheads",1,0,1,0,100.688234943041,0
2007,"EGOA","Pacific_halibut","adu","Walleye_pollock",13,13,0,103.898966375591,0,1
2007,"EGOA","Sablefish","adu","Thornyheads",1,0,1,0,10.9864057789021,0
2007,"EGOA","Walleye_pollock","adu","POP",1,1,0,4.75173089156213,0,1
2007,"WGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",2,1,1,9.23337640615249,110.113799832378,0.077365688046933
2007,"WGOA","Arrowtooth_flounder","adu","Flathead_sole",1,1,0,29.3797127109408,0,1
2007,"WGOA","Arrowtooth_flounder","adu","Pacific_cod",2,1,1,40.4314658317556,427.516166006155,0.0864016891654244
2007,"WGOA","Arrowtooth_flounder","adu","Pacific_halibut",1,1,0,0.49338798053657,0,1
2007,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",40,33,7,2429.07866013957,3208.64041247672,0.430861954782063
2007,"WGOA","Big_skate","adu","Walleye_pollock",3,0,3,0,1907.90194614944,0
2007,"WGOA","Lingcod","adu","Arrowtooth_flounder",1,0,1,0,199.499145001943,0
2007,"WGOA","Lingcod","adu","POP",4,0,4,0,2232.2655775546,0
2007,"WGOA","Lingcod","adu","Walleye_pollock",2,0,2,0,900.906710869142,0
2007,"WGOA","Other_skates","adu","Walleye_pollock",1,0,1,0,813.950467002286,0
2007,"WGOA","Pacific_cod","adu","Arrowtooth_flounder",1,1,0,24.6433941624797,0,1
2007,"WGOA","Pacific_cod","adu","Flathead_sole",3,3,0,54.3070014235083,0,1
2007,"WGOA","Pacific_cod","adu","Rex_sole",1,1,0,2.40560858958978,0,1
2007,"WGOA","Pacific_cod","adu","Walleye_pollock",10,10,0,621.291219291143,0,1
2007,"WGOA","Pacific_halibut","adu","Arrowtooth_flounder",4,2,2,23.1007316382095,933.261722616295,0.024154787272799
2007,"WGOA","Pacific_halibut","adu","POP",4,0,4,0,1501.17043545579,0
2007,"WGOA","Pacific_halibut","adu","Pacific_cod",3,3,0,144.043937943799,0,1
2007,"WGOA","Pacific_halibut","adu","Pacific_halibut",1,1,0,79.0278561484507,0,1
2007,"WGOA","Pacific_halibut","adu","Thornyheads",2,0,2,0,223.688345048524,0
2007,"WGOA","Pacific_halibut","adu","Walleye_pollock",53,43,10,2244.49237198994,7503.46632167121,0.230252552613859
2007,"WGOA","Sablefish","adu","POP",5,0,5,0,2047.36563620125,0
2007,"WGOA","Sablefish","adu","Thornyheads",3,1,2,8.13525915647283,199.270877014666,0.0392238113425926
2007,"WGOA","Sablefish","adu","Walleye_pollock",8,7,1,677.711356393152,274.490930100737,0.711730444261543
2007,"WGOA","Shallow-water_flatfish","adu","Arrowtooth_flounder",1,1,0,33.9479023730969,0,1
2007,"WGOA","Walleye_pollock","adu","Pacific_halibut",1,1,0,0.167991224287027,0,1
2007,"WGOA","Walleye_pollock","adu","Walleye_pollock",3,3,0,180.452602291684,0,1
2009,"EGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",1,0,1,0,178.718335271654,0
2009,"EGOA","Arrowtooth_flounder","adu","POP",2,2,0,97.6454010757113,0,1
2009,"EGOA","Arrowtooth_flounder","adu","Rex_sole",1,0,1,0,66.6858963466048,0
2009,"EGOA","Arrowtooth_flounder","adu","Walleye_pollock",7,6,1,171.373696141399,516.021940138691,0.249308676250558
2009,"EGOA","Pacific_cod","adu","Arrowtooth_flounder",1,0,1,0,102.633438197478,0
2009,"EGOA","Pacific_cod","adu","Flathead_sole",1,0,1,0,202.164543165699,0
2009,"EGOA","Pacific_cod","adu","Thornyheads",1,0,1,0,93.2245114634938,0
2009,"EGOA","Pacific_hake","adu","Walleye_pollock",36,36,0,547.083790883327,0,1
2009,"EGOA","Pacific_halibut","adu","Arrowtooth_flounder",2,2,0,44.6924683496614,0,1
2009,"EGOA","Pacific_halibut","adu","Flathead_sole",1,1,0,19.3733481509345,0,1
2009,"EGOA","Pacific_halibut","adu","Rex_sole",1,0,1,0,100.552996001232,0
2009,"EGOA","Pacific_halibut","adu","Sablefish",1,1,0,13.6370348809483,0,1
2009,"EGOA","Pacific_halibut","adu","Walleye_pollock",1,1,0,1.16390450985895,0,1
2009,"EGOA","Sablefish","adu","POP",1,0,1,0,158.996414332778,0
2009,"EGOA","Walleye_pollock","juv","Walleye_pollock",1,1,0,0.240354924138103,0,1
2009,"WGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",2,1,1,27.334833813572,133.20641762369,0.170266729384841
2009,"WGOA","Arrowtooth_flounder","adu","POP",1,1,0,41.2846323076043,0,1
2009,"WGOA","Arrowtooth_flounder","adu","Pacific_cod",2,2,0,299.970796388654,0,1
2009,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",28,22,6,1317.21026829488,1596.21386494897,0.45211757988298
2009,"WGOA","Arrowtooth_flounder","juv","Walleye_pollock",1,1,0,8.0939892907812,0,1
2009,"WGOA","Big_skate","adu","Arrowtooth_flounder",2,0,2,0,1245.33487540124,0
2009,"WGOA","Big_skate","adu","Pacific_cod",1,0,1,0,2198.83387943391,0
2009,"WGOA","Lingcod","adu","Pacific_cod",1,0,1,0,2317.84447803175,0
2009,"WGOA","Lingcod","adu","Walleye_pollock",1,0,1,0,582.379786076555,0
2009,"WGOA","Other_skates","adu","Flathead_sole",1,1,0,4.1198304426843,0,1
2009,"WGOA","Other_skates","adu","Walleye_pollock",1,0,1,0,921.623852223326,0
2009,"WGOA","Pacific_cod","adu","Flathead_sole",1,1,0,9.92572834981565,0,1
2009,"WGOA","Pacific_cod","adu","Pacific_cod",1,1,0,68.2736134852247,0,1
2009,"WGOA","Pacific_cod","adu","Thornyheads",1,0,1,0,10.5109841058337,0
2009,"WGOA","Pacific_cod","adu","Walleye_pollock",14,13,1,357.842197092048,236.963708990121,0.601611708009191
2009,"WGOA","Pacific_cod","juv","Arrowtooth_flounder",1,1,0,7.49608229146448,0,1
2009,"WGOA","Pacific_dogfish","adu","Flathead_sole",1,1,0,1.37385951921775,0,1
2009,"WGOA","Pacific_halibut","adu","Arrowtooth_flounder",2,2,0,85.9086850858459,0,1
2009,"WGOA","Pacific_halibut","adu","POP",3,3,0,173.945399673993,0,1
2009,"WGOA","Pacific_halibut","adu","Pacific_cod",1,1,0,178.661119446723,0,1
2009,"WGOA","Pacific_halibut","adu","Walleye_pollock",37,25,12,1580.50460963401,6067.47088028339,0.206656599739061
2009,"WGOA","Sablefish","adu","Thornyheads",1,0,1,0,197.127497870446,0
2009,"WGOA","Sablefish","adu","Walleye_pollock",2,2,0,95.4337836582023,0,1
2009,"WGOA","Sablefish","juv","Walleye_pollock",1,1,0,129.437615652071,0,1
2009,"WGOA","Walleye_pollock","adu","Arrowtooth_flounder",1,1,0,5.23841564271866,0,1
2009,"WGOA","Walleye_pollock","adu","Flathead_sole",2,2,0,2.34069208268679,0,1
2009,"WGOA","Walleye_pollock","adu","Thornyheads",1,0,1,0,18.4692154502569,0
2009,"WGOA","Walleye_pollock","adu","Walleye_pollock",10,10,0,177.642699604266,0,1
2011,"EGOA","Arrowtooth_flounder","adu","Walleye_pollock",8,6,2,238.089110209398,892.634762728597,0.210563441621484
2011,"EGOA","Pacific_cod","adu","Arrowtooth_flounder",1,1,0,9.2817380073032,0,1
2011,"EGOA","Pacific_cod","adu","Rex_sole",1,1,0,2.1067762289503,0,1
2011,"EGOA","Pacific_halibut","adu","POP",2,0,2,0,571.773791230841,0
2011,"EGOA","Pacific_halibut","adu","Pacific_cod",16,16,0,69.2427822319126,0,1
2011,"EGOA","Pacific_halibut","adu","Walleye_pollock",13,13,0,55.9534318748138,0,1
2011,"EGOA","Sablefish","adu","Thornyheads",2,0,2,0,61.7395207748153,0
2011,"EGOA","Slope_rockfish","adu","Arrowtooth_flounder",1,1,0,0.334407508846306,0,1
2011,"WGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",2,1,1,3.49534591003992,72.3975449693271,0.0460563021060277
2011,"WGOA","Arrowtooth_flounder","adu","Flathead_sole",1,0,1,0,96.8159588234425,0
2011,"WGOA","Arrowtooth_flounder","adu","Pacific_cod",1,1,0,322.77337474725,0,1
2011,"WGOA","Arrowtooth_flounder","adu","Thornyheads",1,0,1,0,27.8924454806618,0
2011,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",19,14,5,393.542992961615,1865.58821293944,0.174201034421394
2011,"WGOA","Demersal_shelf_rockfish","adu","Sablefish",1,1,0,47.4956950735409,0,1
2011,"WGOA","Large_sculpins","adu","Flathead_sole",4,1,3,0.642872303900303,663.8663885209,0.000967439194304619
2011,"WGOA","Large_sculpins","adu","Thornyheads",1,0,1,0,62.2227459215634,0
2011,"WGOA","Lingcod","adu","Arrowtooth_flounder",1,0,1,0,62.1127795731643,0
2011,"WGOA","Lingcod","adu","Sablefish",1,1,0,10.4280997600767,0,1
2011,"WGOA","Lingcod","adu","Walleye_pollock",6,6,0,222.223032766212,0,1
2011,"WGOA","Pacific_cod","adu","Arrowtooth_flounder",2,2,0,42.344241509111,0,1
2011,"WGOA","Pacific_cod","adu","Flathead_sole",13,13,0,49.3688923697577,0,1
2011,"WGOA","Pacific_cod","adu","Walleye_pollock",8,6,2,309.034793395878,765.824945996247,0.287511739504402
2011,"WGOA","Pacific_cod","juv","Walleye_pollock",1,1,0,9.18930979325505,0,1
2011,"WGOA","Pacific_halibut","adu","Arrowtooth_flounder",2,0,2,0,1680.40353183972,0
2011,"WGOA","Pacific_halibut","adu","Pacific_cod",1,1,0,292.182960511249,0,1
2011,"WGOA","Pacific_halibut","adu","Rex_sole",2,2,0,2.28994686188164,0,1
2011,"WGOA","Pacific_halibut","adu","Walleye_pollock",26,15,11,1059.59831689093,6022.44817711309,0.149617531851568
2011,"WGOA","Sablefish","adu","Thornyheads",3,0,3,0,99.3765077762862,0
2011,"WGOA","Sablefish","adu","Walleye_pollock",2,2,0,143.418641239039,0,1
2011,"WGOA","Slope_rockfish","adu","Arrowtooth_flounder",1,1,0,0.428363826906445,0,1
2011,"WGOA","Slope_rockfish","adu","Walleye_pollock",1,1,0,0.0260092093333373,0,1
2011,"WGOA","Walleye_pollock","adu","Arrowtooth_flounder",1,1,0,0.366104998195936,0,1
2013,"EGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",1,1,0,0.547973119210405,0,1
2013,"EGOA","Arrowtooth_flounder","adu","Walleye_pollock",18,18,0,577.270029335085,0,1
2013,"EGOA","Pacific_cod","adu","Arrowtooth_flounder",3,3,0,1.63228233175492,0,1
2013,"EGOA","Pacific_cod","adu","Thornyheads",1,1,0,5.59175330118359,0,1
2013,"EGOA","Pacific_cod","adu","Walleye_pollock",6,6,0,259.612176531446,0,1
2013,"EGOA","Pacific_halibut","adu","Walleye_pollock",4,3,1,72.3671432083665,307.034966473596,0.190739959957073
2013,"EGOA","Walleye_pollock","adu","Walleye_pollock",1,1,0,0.349297138889652,0,1
2013,"WGOA","Arrowtooth_flounder","adu","Arrowtooth_flounder",3,3,0,23.5437004083518,0,1
2013,"WGOA","Arrowtooth_flounder","adu","Flathead_sole",2,2,0,3.37889392917825,0,1
2013,"WGOA","Arrowtooth_flounder","adu","POP",1,1,0,84.4279978248409,0,1
2013,"WGOA","Arrowtooth_flounder","adu","Pacific_cod",1,1,0,237.038528264948,0,1
2013,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",136,123,13,3336.02608023506,4159.66209982034,0.445059346133367
2013,"WGOA","Pacific_cod","adu","Arrowtooth_flounder",4,4,0,13.5427631949587,0,1
2013,"WGOA","Pacific_cod","adu","Flathead_sole",5,5,0,13.7141318006847,0,1
2013,"WGOA","Pacific_cod","adu","POP",3,1,2,3.57938606085088,386.575460886077,0.00917427039253924
2013,"WGOA","Pacific_cod","adu","Pacific_cod",1,1,0,57.8829045281589,0,1
2013,"WGOA","Pacific_cod","adu","Pacific_halibut",4,4,0,2.87966629636227,0,1
2013,"WGOA","Pacific_cod","adu","Walleye_pollock",197,182,15,3646.25062384969,5996.94225359069,0.378116529472292
2013,"WGOA","Pacific_halibut","adu","Arrowtooth_flounder",13,9,4,104.151508594339,1361.38115219869,0.0710673404835484
2013,"WGOA","Pacific_halibut","adu","Flathead_sole",3,3,0,12.4340256787718,0,1
2013,"WGOA","Pacific_halibut","adu","POP",1,1,0,47.5606221456696,0,1
2013,"WGOA","Pacific_halibut","adu","Pacific_cod",3,2,1,158.827116541796,876.279445985261,0.153440353188414
2013,"WGOA","Pacific_halibut","adu","Pacific_halibut",2,2,0,10.7743321208346,0,1
