SPECIES_CODE,SPECIES_NAME,COMMON_NAME,ECOPATH_Name.goa,EGOA,FINAL_GOA,wgoa.wt,egoa.wt,PHYLUM_TAXON,CLASS_TAXON,ORDER_TAXON,FAMILY_TAXON,GENUS_TAXON,SPECIES_TAXON
425,Raja inornata,California skate,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,inornata
435,Bathyraja interrupta,Bering skate,Other skates,Other_skates,Other_skates,91622.67767,10518.10568,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,interrupta
436,Bathyraja interrupta egg case,Bering skate egg case,Other skates,NA,Other_skates,155.3896861,15.50699385,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,interrupta
440,Raja rhina,longnose skate,Longnosed skate,Longnose_skate,Longnose_skate,900058.4331,222196.7186,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,rhina
441,Raja rhina egg case,longnose skate egg case,Longnosed skate,NA,Longnose_skate,69.26484526,14.79432468,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,rhina
445,Raja badia,roughshoulder skate,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,badia
446,Raja badia egg case,roughshoulder skate egg case,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,badia
450,Raja stellulata,starry skate,Other skates,NA,Other_skates,0,37.60906906,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,stellulata
455,Bathyraja taranetzi,mud skate,Other skates,Other_skates,Other_skates,711.6366086,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,taranetzi
456,Bathyraja taranetzi egg case,mud skate egg case,Other skates,NA,Other_skates,0.231195591,0.158064719,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,taranetzi
460,Bathyraja trachura,roughtail skate,Other skates,Other_skates,Other_skates,4171.137525,1484.24076,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,trachura
461,Bathyraja trachura egg case,roughtail skate egg case,Other skates,NA,Other_skates,2.408089736,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,trachura
471,Bathyraja parmifera,Alaska skate,Other skates,Other_skates,Other_skates,53890.41174,977.6840776,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,parmifera
472,Bathyraja aleutica,Aleutian skate,Other skates,Other_skates,Other_skates,427786.9752,17529.77616,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,aleutica
473,Bathyraja aleutica egg case,Aleutian skate egg case,Other skates,NA,Other_skates,398.2521769,7.581983186,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,aleutica
474,Bathyraja parmifera egg case,Alaska skate egg case,Other skates,NA,Other_skates,140.3392947,0.91557652,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,parmifera
475,Bathyraja lindbergi,Commander skate,Other skates,Other_skates,Other_skates,198.0352058,216.4268758,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,lindbergi
476,Bathyraja lindbergi egg case,Commander skate egg case,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,lindbergi
477,Bathyraja panthera,leopard skate,NA,Other_skates,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,panthera
478,Bathyraja panthera egg case,leopard skate egg case,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,panthera
480,Bathyraja maculata,whiteblotched skate,Other skates,Other_skates,Other_skates,13668.83867,470.1368246,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,maculata
481,Bathyraja maculata egg case,whiteblotched skate egg case,Other skates,NA,Other_skates,0.413386001,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,maculata
483,Bathyraja mariposa,butterfly skate,Other skates,NA,Other_skates,185.2630651,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,mariposa
484,Bathyraja mariposa egg case,butterfly skate egg case,Other skates,NA,Other_skates,0.764106066,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,mariposa
485,Bathyraja minispinosa,whitebrow skate,Other skates,Other_skates,Other_skates,275.8040173,106.6163668,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,minispinosa
486,Bathyraja minispinosa egg case,whitebrow skate egg case,Other skates,NA,Other_skates,0,0.716374366,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,minispinosa
490,Bathyraja smirnovi,golden skate,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,smirnovi
495,Bathyraja violacea,Okhotsk skate,NA,Other_skates,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,violacea
610,Torpedo californica,Pacific electric ray,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,Torpedo,californica
710,Hydrolagus colliei,spotted ratfish,Gen Chondrychthyes,Shelf_demersals,Spotted_ratfish,0,527644.1634,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Hydrolagus,colliei
711,Hydrolagus colliei egg case,spotted ratfish egg case,Gen Chondrychthyes,NA,Spotted_ratfish,0,15.92727647,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Hydrolagus,colliei
10001,Pleuronectiformes,flatfish unid.,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,NA,NA,NA
10002,Pleuronectiform larvae,flatfish larvae,Fish Larvae,NA,Shallow_water_flatfish,0.15146503,0.168747036,Chordata,Actinopterygii,Pleuronectiformes,NA,NA,NA
10003,Bothidae,lefteye flounder unid.,NA,Shallow-water_flatfish,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,NA,NA
10008,Citharichthys sp.,sanddab unid.,NA,Shallow-water_flatfish,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,NA
10009,Citharichthys xanthostigma,longfin sanddab,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,xanthostigma
10010,Citharichthys sordidus,Pacific sanddab,Misc. Flatfish,Shallow-water_flatfish,Shallow_water_flatfish,28.85595852,5653.806388,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,sordidus
10020,Citharichthys stigmaeus,speckled sanddab,Misc. Flatfish,NA,Shallow_water_flatfish,46.21634421,0,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,stigmaeus
10041,Hippoglossina stomata,bigmouth sole,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Hippoglossina,stomata
10050,Paralichthys californicus,California halibut,NA,Shallow-water_flatfish,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,californicus
10060,Xystreurys liolepis,fantail sole,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Xystreurys,liolepis
10100,Pleuronectidae,righteye flounder unid.,Gen flatfish,Shallow-water_flatfish,Shallow_water_flatfish,60.07517129,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA
10110,Atheresthes stomias,arrowtooth flounder,Arrowtooth,Arrowtooth_flounder,Arrowtooth_flounder,57614535.96,7736814.074,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Atheresthes,stomias
10111,Atheresthes sp.,NA,NA,Arrowtooth_flounder,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Atheresthes,NA
10112,Atheresthes evermanni,Kamchatka flounder,Gen flatfish,Arrowtooth_flounder,Arrowtooth_flounder,2401.736015,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Atheresthes,evermanni
10115,Reinhardtius hippoglossoides,Greenland turbot,Gen flatfish,Shallow-water_flatfish,Shallow_water_flatfish,2805.880632,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,hippoglossoides
10116,Reinhardtius hippoglossoides (juvenile),Greenland turbot (juvenile),NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,hippoglossoides
10120,Hippoglossus stenolepis,Pacific halibut,P. Halibut,Pacific_halibut,Pacific_halibut,15485067.35,1903048.279,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,stenolepis
10121,Hippoglossus stenolepis (juvenile),Pacific halibut (juvenile),NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,stenolepis
10122,Parophrys vetulus X Platichthys stellatus hybrid,hybrid sole,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA
10129,Hippoglossoides sp.,NA,NA,Flathead_sole,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,NA
10130,Hippoglossoides elassodon,flathead sole,FH. Sole,Flathead_sole,Flathead_sole,8741768.772,542821.7621,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,elassodon
10140,Hippoglossoides robustus,Bering flounder,NA,Flathead_sole,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,robustus
10141,Hippoglossoides robustus (juvenile),Bering flounder (juvenile),NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,robustus
10145,Hypsopsetta guttulata,diamond turbot,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hypsopsetta,guttulata
10150,Lyopsetta exilis,slender sole,Misc. Flatfish,Shallow-water_flatfish,Shallow_water_flatfish,1784.135363,21381.71736,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lyopsetta,exilis
10155,Liopsetta glacialis,Arctic flounder,NA,Shallow-water_flatfish,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Liopsetta,glacialis
10160,Eopsetta jordani,petrale sole,Misc. Flatfish,Shallow-water_flatfish,Shallow_water_flatfish,707.840686,60767.66677,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta,jordani
10170,Parophrys vetulus,English sole,Misc. Flatfish,Shallow-water_flatfish,Shallow_water_flatfish,243644.5582,177375.596,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,vetulus
10180,Microstomus pacificus,Dover sole,Dover Sole,Deep-water_flatfish,Deep_water_flatfish,1799247.35,1376899.805,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,pacificus
10190,Embassichthys bathybius,deepsea sole,Misc. Flatfish,Deep-water_flatfish,Deep_water_flatfish,2614.879583,1545.488162,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Embassichthys,bathybius
10200,Glyptocephalus zachirus,rex sole,Rex Sole,Rex_sole,Rex_sole,3428543.836,762621.5505,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,zachirus
10201,Glyptocephalus zachirus larvae,rex sole larvae,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,zachirus
10209,Limanda aspera (juvenile),yellowfin sole (juvenile),NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,aspera
10210,Limanda aspera,yellowfin sole,YF. Sole,Shallow-water_flatfish,Shallow_water_flatfish,2098683.163,1088.117019,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,aspera
10211,Limanda proboscidea,longhead dab,NA,Shallow-water_flatfish,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,proboscidea
10212,Limanda sakhalinensis,Sakhalin sole,NA,Shallow-water_flatfish,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,sakhalinensis
10220,Platichthys stellatus,starry flounder,Misc. Flatfish,Shallow-water_flatfish,Shallow_water_flatfish,1057422.568,90949.07726,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,stellatus
10221,Platichthys stellatus X Pleuronectes quadrituberculatus hybrid,hybrid starry flounder X Alaska plaice,Misc. Flatfish,NA,Shallow_water_flatfish,899.5224188,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA
10240,Clidoderma asperrimum,roughscale sole,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Clidoderma,asperrimum
10250,Psettichthys melanostictus,sand sole,Misc. Flatfish,Shallow-water_flatfish,Shallow_water_flatfish,58315.8455,803.8954843,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,melanostictus
10260,Lepidopsetta sp.,rock sole unid.,S. Rock sole,Shallow-water_flatfish,Shallow_water_flatfish,1359050.563,9759.309014,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,NA
10261,Lepidopsetta polyxystra,northern rock sole,S. Rock sole,Shallow-water_flatfish,Shallow_water_flatfish,2509914.744,237.2367626,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,polyxystra
10262,Lepidopsetta bilineata,southern rock sole,S. Rock sole,Shallow-water_flatfish,Shallow_water_flatfish,4147629.036,106735.1598,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,bilineata
10263,Lepidopsetta polyxystra (juvenile),northern rock sole (juvenile),NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,polyxystra
10270,Isopsetta isolepis,butter sole,Misc. Flatfish,Shallow-water_flatfish,Shallow_water_flatfish,632615.6248,29176.42842,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Isopsetta,isolepis
10280,Pleuronichthys decurrens,curlfin sole,Misc. Flatfish,NA,Shallow_water_flatfish,0,963.3469401,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,decurrens
10281,Pleuronichthys verticalis,hornyhead turbot,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,verticalis
10285,Pleuronectes quadrituberculatus,Alaska plaice,AK Plaice,Shallow-water_flatfish,Shallow_water_flatfish,283722.9917,84.20811775,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,quadrituberculatus
10290,Pleuronichthys coenosus,C-O sole,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,coenosus
10291,Pleuronichthys sp.,NA,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,NA
10295,Pleuronichthys ritteri,spotted turbot,NA,NA,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,ritteri
10400,Symphurus atricauda,California tonguefish,NA,Shallow-water_flatfish,ZERO,0,0,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Symphurus,atricauda
20000,Agonidae,poacher unid.,Misc. fish shallow,Shelf_demersals,Shelf_demersals,25.33273793,16.55480404,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA
20001,Pallasina barbata,tubenose poacher,NA,Shelf_demersals,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Pallasina,barbata
20002,Percis japonicus,dragon poacher,NA,NA,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Percis,japonicus
20004,Leptagonus sp.,NA,Misc. fish shallow,NA,Shelf_demersals,356.1901622,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Leptagonus,NA
20005,Leptagonus leptorhynchus,longnose poacher,Misc. fish shallow,Shelf_demersals,Shelf_demersals,22.96520796,3.101216664,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Leptagonus,leptorhynchus
20006,Leptagonus frenatus,sawback poacher,Misc. fish shallow,Shelf_demersals,Shelf_demersals,566.6901772,20.7869966,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Leptagonus,frenatus
20007,Leptagonus decagonus,Atlantic poacher,NA,NA,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Leptagonus,decagonus
20015,Agonopsis vulsa,northern spearnose poacher,Misc. fish shallow,Shelf_demersals,Shelf_demersals,21.24123265,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Agonopsis,vulsa
20018,Odontopyxis trispinosa,pygmy poacher,Misc. fish shallow,NA,Shelf_demersals,0.083485287,0.163907073,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Odontopyxis,trispinosa
20020,Xeneretmus latifrons,blacktip poacher,NA,NA,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,latifrons
20021,Xeneretmus triacanthus,bluespotted poacher,NA,NA,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,triacanthus
20022,Xeneretmus leiops,smootheye poacher,Misc. fish shallow,NA,Shelf_demersals,0,5.496979141,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,leiops
20023,Xeneretmus sp.,NA,NA,Shelf_demersals,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Xeneretmus,NA
20034,Bathyagonus sp.,starsnout poacher unid.,Misc. fish shallow,NA,Shelf_demersals,16.07916354,1.597353687,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Bathyagonus,NA
20035,Bathyagonus alascanus,gray starsnout,Misc. fish shallow,Shelf_demersals,Shelf_demersals,11.32770574,3.25728549,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Bathyagonus,alascanus
20036,Bathyagonus infraspinatus,spinycheek starsnout,Misc. fish shallow,Shelf_demersals,Shelf_demersals,3.816414644,2.829608016,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Bathyagonus,infraspinatus
20037,Bathyagonus pentacanthus,bigeye poacher,Misc. fish shallow,Shelf_demersals,Shelf_demersals,30.08505532,47.72715383,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Bathyagonus,pentacanthus
20038,Bathyagonus nigripinnis,blackfin poacher,Misc. fish shallow,Shelf_demersals,Shelf_demersals,106.7316039,56.77776611,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Bathyagonus,nigripinnis
20039,Podothecus sp.,NA,NA,Shelf_demersals,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Podothecus,NA
20040,Podothecus accipenserinus,sturgeon poacher,Misc. fish shallow,Shelf_demersals,Shelf_demersals,12870.92562,76.29618679,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Podothecus,accipenserinus
20041,Podothecus veternus,veteran poacher,Misc. fish shallow,Shelf_demersals,Shelf_demersals,0.555367083,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Podothecus,veternus
20050,Aspidophoroides monopterygius,Aleutian alligatorfish,Misc. fish shallow,Shelf_demersals,Shelf_demersals,1.101726658,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Aspidophoroides,monopterygius
20051,Aspidophoroides olrikii,Arctic alligatorfish,NA,Shelf_demersals,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Ulcina,olrikii
20055,Anoplagonus inermis,smooth alligatorfish,Misc. fish shallow,Shelf_demersals,Shelf_demersals,0.338598015,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Anoplagonus,inermis
20060,Chesnonia verrucosa,warty poacher,NA,NA,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Chesnonia,verrucosa
20061,Occella dodecaedron,Bering poacher,NA,Shelf_demersals,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Occella,dodecaedron
20071,Hypsagonus quadricornis,fourhorn poacher,Misc. fish shallow,Shelf_demersals,Shelf_demersals,9.260966508,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Hypsagonus,quadricornis
20075,Stellerina xyosterna,pricklebreast poacher,NA,NA,Shelf_demersals,0,0,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Stellerina,xyosterna
