year,Apex predators,Benthic foragers,Infauna,Mesozooplankton,Motile epifauna,Pelagic foragers,Poor Apex predators,Poor Pelagic foragers,Shrimp,Structural epifauna,<NA>,,year,Apex predators,Benthic foragers,Infauna,Mesozooplankton,Motile epifauna,Pelagic foragers,Poor Apex predators,Poor Pelagic foragers,Shrimp,Structural epifauna,<NA>
1992,2834186.43,5874143.294,95482472.94,0,6263872.207,13489659.85,2563.533179,19143.19828,11061362.06,298978.9811,0,,1992,2836839.056,5879501.202,96555520.86,0,6285264.587,13456913.61,2563.533179,19143.19828,11062915.44,303374.7634,0
1993,3427849.129,5979820.944,87679385.24,0,6438729.474,24450360.68,0,404.4695682,15879326.98,434415.6299,0,,1993,3428915.435,6007121.715,87738229.92,0,6455009.602,24471652.89,0,404.4695682,15874400.26,430457.8174,0
1994,5381915.855,7095383.499,102931522.4,0,6193847.376,15316753.09,5012.26324,451.7987391,9318498.329,458712.6388,0,,1994,5396607.219,7135827.683,103033201.2,0,6206543.294,15299233.86,5012.26324,451.7987391,9318588.801,454284.4387,0
1995,4219054.436,5581196.114,137442076.7,0,6600680.302,17430651.13,1005.245442,639.1900726,3819387.303,552185.7009,0,,1995,4237148.327,5604065.068,138742071,0,6620241.882,17438419.93,1005.245442,639.1900726,3821252.299,558136.5614,0
1996,4050566.414,5676278.981,178137561.8,0,5752684.905,8910409.44,2803.570561,42041.683,8934942.851,862625.1237,0,,1996,4052511.191,5685912.044,179076880.7,0,5802806.099,8775771.684,2803.570561,42041.683,8991706.966,856597.078,0
1997,3278296.129,6590735.834,279334482,0,6704989.546,13918798.84,0,23985.75664,9374909.907,985421.4535,0,,1997,3278055.288,6600482.227,279881024.7,0,6731634.713,13961101.3,0,23985.75664,9381478.914,980154.3455,0
1998,2906019.042,5848390.177,93100633.21,0,6135877.768,7452586.145,2124.070656,14884.63138,5461938.701,650889.5819,0,,1998,2903694.639,5852000.433,93372133.92,0,6155292.595,7404351.941,2124.070656,14884.63138,5465987.645,646698.4176,0
1999,2578256.838,4112879.574,118593127.9,0,5272305.408,8418796.147,2079.502492,4599.301771,2429376.771,753204.6052,0,,1999,2586631.219,4118192.475,119018168.2,0,5286424.333,8464815.246,2079.502492,4603.617504,2432631.263,748571.6318,0
2000,2634338.37,4766414.984,84069886.83,0,5596804.76,11529530.28,1462.641591,4030.404995,1355127.049,1066462.485,0,,2000,2632779.265,4772354.419,84304734.58,0,5607915.167,11479137.39,1462.641591,3979.837244,1355887.074,1060256.814,0
2001,3537735.875,5270524.823,183997341.5,0,6339288.673,9608515.091,0,1377.282767,2293852.749,923788.5236,0,,2001,3531236.031,5278157.087,184052161.5,0,6343488.913,9624056.618,0,1377.282767,2292552.166,906348.6605,0
2002,2784317.973,5131448.033,134270906.9,0,6047440.175,11170841.61,5602.292617,6778.630326,2578330.464,858021.2219,0,,2002,2784924.353,5121121.671,134279244,0,6055362.576,11179660.87,5572.294976,6778.630326,2581893.339,861331.7983,0
2003,3208458.618,5487504.073,100925866.3,0,6692760.075,19675533.06,723.4643662,58770.77647,4352309.382,868866.073,0,,2003,3204483.31,5500795.496,100998296.4,0,6707418.817,19655272.52,723.4643662,58770.77647,4353020.487,873248.3097,0
2004,3180665.4,6128738.586,288337437.5,0,7099940.473,11801261.57,3093.435351,97291.19062,7629495.412,922112.0984,0,,2004,3181744.997,6134927.344,290066971.6,0,7118414.689,11755154.03,2811.794467,97291.19062,7632323.068,923593.3367,0
2005,3577859.227,6555458.878,164615277,0,8474525.612,12429022.66,1679.011274,308580.2103,3615852.384,786004.4487,0,,2005,3574793.814,6558497.564,164363939,0,8497877.903,12339654.1,1805.177696,308580.2103,3621708.145,781871.3971,0
2006,3245228.255,6136516.29,154338175.1,0,8215120.463,7540477.924,2944.311384,34913.53753,4534289.863,787955.8602,0,,2006,3233060.197,6148428.152,155528305.4,0,8274551.778,7502447.136,2989.191552,34913.53753,4536718.297,791312.3293,0
2007,2776711.768,5664334.434,234887127.8,0,7699152.569,9010017.108,0,8089.917094,3140527.261,636959.3047,0,,2007,2771370.921,5681833.02,235940518.3,0,7741831.112,8942720.599,0,8089.917094,3143582.055,646038.5651,0
2008,2676411.191,5569235.011,137573224.8,0,7124876.582,7644435.581,0,980.7836875,4037324.595,815601.6017,0,,2008,2677684.37,5594976.188,137395375.6,0,7166888.921,7644136.017,0,980.7836875,4038630.879,824650.6866,0
2009,2446519.209,4618022.778,109119201.6,0,6274397.061,5940672.398,0,1290.827547,4126683.094,726239.775,0,,2009,2440547.492,4638597.548,109878397,0,6318043.173,5938438.609,0,1290.827547,4135039.927,734975.7964,0
2010,3812995.773,5863348.449,99523307.55,0,7814321.422,10925019.06,5299.50315,1821.686959,8792752.362,876895.5282,0,,2010,3823674.446,5873762.918,100092990,0,7882507.148,10926615.1,5299.50315,1821.686959,8797108.159,888683.479,0
2011,3938655.663,5866982.357,136069291.6,0,8386454.621,9460939.099,759.7522128,1351.60295,7352853.825,1024687.735,0,,2011,3929040.156,5894329.36,136188349.5,0,8466312.289,9375347.753,824.5822856,1351.60295,7357172.996,1033530.395,0
2012,3658452.082,5235042.769,127846991.2,0,8762822.243,11050889.19,267.1750461,81631.49769,10152920.12,1076044.943,0,,2012,3664094.11,5256798.11,129103228.2,0,8851537.874,11012568.92,267.1750461,81631.50895,10152482.56,1086862.19,0
2013,3450612.767,5250069.494,152615499.1,0,8514795.9,13878339.49,0,257265.4751,2876375.92,1395322.51,0,,2013,3457702.326,5257722.565,151854416.3,0,8577516.136,13918140.61,0,257265.4751,2877226.269,1408226.542,0
2014,4279351.66,5639769.73,94833080.43,0,8078662.746,15704836.58,0,26322.14562,3725141.925,1069209.172,0,,2014,4276521.217,5635475.863,94650209.75,0,8106459.7,15736276.84,0,26323.58195,3725665.871,1080949.965,0
2015,4251031.773,4376703.301,132072739.7,0,8585930.936,17421578.98,2581.325972,84274.07146,5585903.67,1021756.121,0,,2015,4249627.24,4368220.801,129569797.7,0,8641965.686,17440401.03,2581.325972,84272.85562,5595668.296,1028995.129,0
2016,4068976.592,5400298.083,131625686.6,0,9465904.987,11059856.53,3056.985012,90468.19522,3981238.053,534158.7871,0,,2016,4066682.381,5403119.723,130582133.3,0,9516796.836,11086040.28,3030.892649,90468.19522,3988807.782,540807.7836,0
2017,3174454.547,5534340.079,191672443.4,0,9615516.974,10427798.82,1327.122222,34947.12677,6423705.315,631832.2037,0,,2017,3169103.23,5525013.228,192598305.2,0,9673504.963,10468719.95,1327.122222,34947.07261,6433957.134,644368.0528,0
2018,3172084.841,4061781.227,170913096.8,0,9524766.985,10686239.69,839.0168016,103374.8063,3887451.045,356484.7622,0,,2018,3169762.953,4063442.374,171843156.1,0,9610742.412,10707121.34,839.0168016,103374.8063,3894895.475,360721.7605,0
2019,3294240.664,4186680.161,110185515.3,0,8763465.383,11080781.62,0,5897.941309,2812987.732,277131.0995,0,,2019,3287976.311,4192007.72,110328050.4,0,8836976.66,11138324.22,0,5897.941309,2813353.852,279084.6711,0
2021,3113578.886,4032136.577,200249390.9,0,8552313.841,6007050.068,451.5117373,6753.933795,6505337.296,200338.2391,0,,2021,3115414.144,4031807.435,200609108.5,0,8581454.436,5998311.536,451.5117373,6753.79917,6517013.412,201385.0592,0
2022,3397567.802,4730697.243,242802584.2,0,8667965.271,10174294.55,7837.745372,131398.7993,8773987.992,284107.4902,0,,2022,3394767.699,4741006.218,243246034.6,0,8661676.577,10234466.71,7837.745372,131398.3048,8801853.147,286869.6867,0
2023,3339059.524,4052869.093,287964539.5,0,7688993.92,6722332.495,819.8327131,19874.35272,5655568.504,242953.5595,0,,2023,3334068.759,4061328.769,297646794.4,0,7700367.614,6725596.112,819.8327131,19874.39447,5692454.448,244647.0669,0
2024,3271108.584,4448624.845,298023021.9,0,9337027.209,11537159.67,0,52590.55564,6711031.181,264719.1745,0,,2024,3266901.936,4455352.896,295878941.3,0,9288779.796,11480817.21,0,52590.70407,6858926.68,268193.2483,0
