"year","Apex predators","Benthic foragers","Infauna","Mesozooplankton","Motile epifauna","Pelagic foragers","Poor Apex predators","Poor Pelagic foragers","Shrimp","Structural epifauna","<NA>"
2000,2632779.2646829,4772354.41858101,84304734.5812292,0,5607915.16691536,11479137.3856115,1462.64159065624,3979.83724431073,1355887.07414802,1060256.81444351,0
2001,3531236.03100938,5278157.08743518,184052161.497632,0,6343488.9128567,9624056.61760968,0,1377.28276654698,2292552.16578151,906348.6604541,0
2002,2784924.35258258,5121121.67076513,134279243.970886,0,6055362.57552961,11179660.8696075,5572.29497609652,6778.63032557996,2581893.33875189,861331.798260931,0
2003,3204483.31041209,5500795.49617924,100998296.368754,0,6707418.81701678,19655272.519688,723.464366200427,58770.7764677589,4353020.48707478,873248.309742822,0
2004,3181744.99667374,6134927.34424813,290066971.553212,0,7118414.68890943,11755154.0262675,2811.7944674018,97291.1906187505,7632323.06792988,923593.336666408,0
2005,3574793.81363821,6558497.56434742,164363939.025546,0,8497877.903078,12339654.09506,1805.17769648344,308580.210317681,3621708.14536466,781871.39708351,0
2006,3233060.19724856,6148428.1518385,155528305.448754,0,8274551.77771735,7502447.13641472,2989.19155152323,34913.5375322359,4536718.29686265,791312.329301088,0
2007,2771370.92128819,5681833.01974661,235940518.299058,0,7741831.11176623,8942720.59948099,0,8089.91709354832,3143582.05477545,646038.565059756,0
2008,2677684.37044495,5594976.18839382,137395375.558491,0,7166888.9205001,7644136.01733961,0,980.783687518416,4038630.87917566,824650.686645652,0
2009,2440547.49160709,4638597.54785552,109878397.017976,0,6318043.17322946,5938438.6093045,0,1290.82754746306,4135039.92713385,734975.796405725,0
2010,3823674.4458188,5873762.91824382,100092989.983662,0,7882507.14813792,10926615.0982625,5299.5031499982,1821.68695931989,8797108.15857318,888683.478998689,0
2011,3929040.1555739,5894329.35966219,136188349.528753,0,8466312.2892701,9375347.75288631,824.582285628412,1351.60295031587,7357172.99552448,1033530.39455347,0
2012,3664094.11001616,5256798.11024411,129103228.165128,0,8851537.87443979,11012568.9209649,267.175046073615,81631.5089474599,10152482.5599486,1086862.19033702,0
2013,3457702.32554406,5257722.56450266,151854416.251673,0,8577516.13641775,13918140.6130586,0,257265.475096401,2877226.26894861,1408226.54244687,0
2014,4276521.21692551,5635475.86325024,94650209.7534716,0,8106459.69992456,15736276.8364204,0,26323.5819501425,3725665.87055343,1080949.96456834,0
2015,4249627.23970539,4368220.80094812,129569797.656217,0,8641965.68602956,17440401.0315279,2581.32597242023,84272.8556185267,5595668.29588373,1028995.12870764,0
2016,4066682.38058868,5403119.72296304,130582133.313245,0,9516796.83629491,11086040.280878,3030.89264889229,90468.1952180743,3988807.7819356,540807.783578638,0
2017,3169103.22951945,5525013.22839795,192598305.182039,0,9673504.96254287,10468719.9527935,1327.1222216603,34947.0726108059,6433957.13393046,644368.052786819,0
2018,3169762.9534425,4063442.37355966,171843156.077001,0,9610742.41212807,10707121.3434754,839.016801557323,103374.806313145,3894895.47454776,360721.760531985,0
2019,3287976.31119561,4192007.71974761,110328050.388256,0,8836976.65973495,11138324.2221937,0,5897.94130867689,2813353.85183872,279084.671076615,0
2021,3115414.1436522,4031807.43512046,200609108.536836,0,8581454.43584435,5998311.53556243,451.511737277186,6753.79916951434,6517013.41220845,201385.059202734,0
2022,3394767.69851397,4741006.21789261,243246034.568036,0,8661676.57666133,10234466.7133998,7837.745372361,131398.304810114,8801853.14746872,286869.686662683,0
2023,3334068.75933813,4061328.76915987,297646794.395967,0,7700367.61357392,6725596.11186895,819.832713141704,19874.3944669142,5692454.44836517,244647.066921717,0
2024,3266901.9363191,4455352.8963276,295878941.272477,0,9288779.79559307,11480817.2148065,0,52590.7040714618,6858926.68015582,268193.248300309,0
