"year","Apex predators","Benthic foragers","Infauna","Mesozooplankton","Motile epifauna","Pelagic foragers","Poor Apex predators","Poor Pelagic foragers","Shrimp","Structural epifauna","<NA>"
2010,3812995.77291649,5863348.44866047,99523307.5487751,0,7814321.42230476,10925019.0615914,5299.5031499982,1821.68695931989,8792752.36222901,876895.528249908,0
2011,3938655.66273254,5866982.35697459,136069291.562926,0,8386454.62066891,9460939.09946286,759.752212753402,1351.60295031587,7352853.82457579,1024687.7346308,0
2012,3658452.08195663,5235042.76916087,127846991.202744,0,8762822.24298666,11050889.1888443,267.175046073615,81631.4976942907,10152920.1186842,1076044.94323689,0
2013,3450612.76725318,5250069.49432668,152615499.097881,0,8514795.89988438,13878339.4879181,0,257265.475096401,2876375.91997871,1395322.51028815,0
2014,4279351.65970429,5639769.73029888,94833080.4292004,0,8078662.74577504,15704836.5801098,0,26322.1456156852,3725141.92461726,1069209.17210459,0
2015,4251031.77262567,4376703.30052522,132072739.708815,0,8585930.93582569,17421578.9762434,2581.32597242023,84274.0714599239,5585903.67011292,1021756.12075991,0
2016,4068976.59181818,5400298.08273163,131625686.634312,0,9465904.98720973,11059856.5316467,3056.98501243181,90468.1952180743,3981238.05304405,534158.787074914,0
2017,3174454.54697111,5534340.07866074,191672443.409418,0,9615516.97429066,10427798.8217574,1327.1222216603,34947.126773833,6423705.31469298,631832.203716968,0
2018,3172084.84090038,4061781.22745152,170913096.843959,0,9524766.98485986,10686239.6902474,839.016801557323,103374.806313145,3887451.04526304,356484.762240954,0
2019,3294240.66417822,4186680.16076184,110185515.272,0,8763465.38319068,11080781.6178073,0,5897.94130867689,2812987.73224925,277131.099510554,0
2021,3113578.88583694,4032136.57745517,200249390.869406,0,8552313.8406191,6007050.06760733,451.511737277186,6753.93379498768,6505337.2961158,200338.239056929,0
2022,3397567.80211896,4730697.24289048,242802584.197374,0,8667965.27082263,10174294.5459871,7837.745372361,131398.799257246,8773987.99159285,284107.490182155,0
2023,3339059.52447371,4052869.09268887,287964539.547145,0,7688993.91954488,6722332.49486674,819.832713141704,19874.3527203727,5655568.50435053,242953.559464939,0
2024,3271108.58432724,4448624.84532173,298023021.921746,0,9337027.20889883,11537159.6745041,0,52590.5556422694,6711031.18080658,264719.1744807,0
