"Quarter","Year","Vessel","Cruise","Type","Sta_id_let","Sta_id_num","Seq_num","Haul","Pred_specn","Pred_nodc","Pred_lh","Pred_full","Pred_dig","Pred_stomwt","Prey_nodc","Prey_lh","Prey_cnt","Prey_twt","Pred_sex","Prey_parts","Pred_len","Pred_mat","Pred_wt","Start_hour","Hauljoin","Predjoin","Note","Preyjoin"
3,2013,89,201301,3,NA,NA,NA,138,916,8791030401,NA,5,3,1.19,6.169e+09,"C",0,0.476,2,NA,28,0,226.7,NA,11111135,11149787,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,917,8791030401,NA,4,3,0.78,6.169e+09,"C",0,0.624,2,NA,27,0,201.7,NA,11111135,11149788,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,917,8791030401,NA,4,3,0.78,6179229900,"C",0,0.156,2,NA,27,0,201.7,NA,11111135,11149788,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,918,8791030401,NA,5,3,0.24,6.1e+09,"C",0,0.24,3,NA,17,0,46.4,NA,11111135,11149789,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,919,8791030401,NA,4,3,0.16,6.169e+09,"C",0,0.16,3,NA,16,0,38.2,NA,11111135,11149790,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,920,8791030401,NA,4,3,0.15,6.169e+09,"C",0,0.15,3,NA,16,0,38.2,NA,11111135,11149791,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,921,8791030401,NA,5,2,1.79,8.735e+09,"C",1,0.024,2,"9",37,0,555.1,NA,11111135,11149792,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,921,8791030401,NA,5,3,1.79,5.001e+09,"C",0,1.5215,2,NA,37,0,555.1,NA,11111135,11149792,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,921,8791030401,NA,5,3,1.79,6179229900,"C",0,0.2445,2,NA,37,0,555.1,NA,11111135,11149792,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,922,8791030401,NA,6,3,8.55,5.001e+09,"C",0,0.4275,1,NA,33,0,391.3,NA,11111135,11149793,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,922,8791030401,NA,6,4,8.55,6.179e+09,"C",0,8.1225,1,NA,33,0,391.3,NA,11111135,11149793,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,923,8791030401,NA,5,2,11.45,8.735e+09,"C",1,0.328,1,"9",46,0,1130.1,NA,11111135,11149794,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,923,8791030401,NA,5,3,11.45,5.001e+09,"C",0,0.817,1,NA,46,0,1130.1,NA,11111135,11149794,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,923,8791030401,NA,5,3,11.45,6.179e+09,"C",0,8.015,1,NA,46,0,1130.1,NA,11111135,11149794,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,923,8791030401,NA,5,3,11.45,6.18e+09,"C",0,1.145,1,NA,46,0,1130.1,NA,11111135,11149794,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,923,8791030401,NA,5,3,11.45,7.3e+09,"C",0,1.145,1,NA,46,0,1130.1,NA,11111135,11149794,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,924,8791030401,NA,3,2,15.55,8.735e+09,"C",1,7.726,1,"9",59,0,2502.2,NA,11111135,11149795,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,924,8791030401,NA,3,3,15.55,5.001e+09,"C",0,2.23,1,NA,59,0,2502.2,NA,11111135,11149795,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,924,8791030401,NA,3,4,15.55,6187010300,"C",1,1.135,1,NA,59,0,2502.2,NA,11111135,11149795,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,924,8791030401,NA,3,5,15.55,6.169e+09,"C",0,0.167,1,NA,59,0,2502.2,NA,11111135,11149795,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,924,8791030401,NA,3,5,15.55,6179229900,"C",0,4.292,1,NA,59,0,2502.2,NA,11111135,11149795,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,925,8791030401,NA,4,3,1.4,6.169e+09,"C",0,0.07,1,NA,32,0,354.7,NA,11111135,11149796,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,925,8791030401,NA,4,3,1.4,6.179e+09,"C",0,1.33,1,NA,32,0,354.7,NA,11111135,11149796,"                                                                                                    ",NA
