"","sp_prey","Big skate","Bighand thornyhead","Dover sole","Dusky rockfish","Longnose skate","Longspine thornyhead","Sebastolobus spp.","Shortsp Thorny"
"106","S Rock Sole",NA,NA,0,NA,0,NA,NA,0
"107","Sablefish",NA,NA,0,NA,0,NA,NA,0
"108","Salmon",NA,NA,0,NA,0,NA,NA,0
"109","Sandlance",NA,NA,0,NA,0,NA,NA,0
"110","Sculpin",NA,NA,0,NA,0,NA,NA,0
"111","Scypho Jellies",NA,NA,0,NA,0,NA,NA,0
"112","Sea Pens",NA,NA,0,NA,0,NA,NA,0
"113","Sea Star",NA,NA,0.0120150097909283,NA,0,NA,NA,0
"114","Sebastes",NA,NA,0,NA,0,NA,NA,0
"115","Sharpchin Rock",NA,NA,0,NA,0,NA,NA,0
"116","Shortraker Rock",NA,NA,0,NA,0,NA,NA,0
"117","Shortsp Thorny",NA,NA,0,NA,0,NA,NA,0
"118","Sleeper Shark",NA,NA,0,NA,0,NA,NA,0
"119","Snail",NA,NA,0.00435064801317822,NA,0,NA,NA,0
"120","Sponge",NA,NA,0.000330165927969321,NA,0,NA,NA,0
"121","Squid",NA,NA,0.000132845558938999,NA,0,NA,NA,0.0253792610868355
"122","Unid Bathyraja",NA,NA,0,NA,0,NA,NA,0
"123","Unid Chion",NA,NA,0,NA,0,NA,NA,0.0706548828003685
"124","Unid Rajidae",NA,NA,0,NA,0,NA,NA,0
"125","Urchins dollars cucumbers",NA,NA,0.0269483545884139,NA,0,NA,NA,0
"126","W. Pollock",NA,NA,0,NA,0,NA,NA,0
"127","Whitebrow Skate",NA,NA,0,NA,0,NA,NA,0
"128","WhtBlotch Skate",NA,NA,0,NA,0,NA,NA,0
"129","Widow Rock",NA,NA,0,NA,0,NA,NA,0
"130","Yellowtail Rock",NA,NA,0,NA,0,NA,NA,0
"131","YF Sole",NA,NA,0,NA,0,NA,NA,0
"132",NA,0,0,0,0,0,0,0,0
