"","sp_prey","Arrowtooth_adult","P.cod_adult","P.halibut_adult","P.ocean perch_adult","Rex Sole_adult","Sablefish_adult","W.pollock_adult","W.pollock_juv"
"56","Gen. Sebastes",0,0.000421224423799761,0.25717420123298,8.60510118038613e-05,0,0,0,0
"57","Gen. Shark Skate",0,0,0,0,0,0,0,0
"58","Gen. Smelt",0,0,0,0,0,0.00231237410530326,0,0
"59","Giant Grenadier",0,0,0,0,0,0,0,0
"60","Glopp",0.00458938909461253,0,0,0.00226122053634647,0.0333862674053404,0.0131167574774264,0.00186829532711557,0
"61","Gr. Turbot",0,0,0,0,0,0,0,0
"62","Greenlings",0,0,0,0,0,0,0,0
"63","Hake",0,0,0,0,0,0,0,0
"64","Hermit Crab",0,0,0,0,0,0.0285857221363699,0.00011217495520238,0
"65","Herring",0,0,0,0,0,0,0,0
"66","Kamchat fl",0,0,0,0,0,0,0,0
"67","King Crab",0,0,0,0,0,0,0,0
"68","Leopard Skate",0,0,0,0,0,0,0,0
"69","Lg Sculpin",0,0,0,0,0,0,0,0
"70","Lingcod",0,0,0,0,0,0,0,0
"71","Longnose Skate",0,0,0,0,0,0,0,0
"72","Longsp Thorny",0,0,0,0,0,0,0,0
"73","Macrouridae",0,0,0,0,0,0,0,0
"74","Managed Forage",0,0,0,0.0112066586620375,0,0,0,0
"75","Misc. Crab",0.0207089014512919,0.723219724849306,0.0930494537717023,3.92247504663509e-05,0.343187684006589,0.138993940464643,0.0207727427458852,0
"76","Misc. Crustacean",0,0,0,0,0,0.00292133487520137,2.12186272880342e-05,0.0237859724444359
"77","Misc. Flatfish",0,0.0445930958860329,0,0,0,0,0,0
"78","Misc. Worm. Etc.",0,0,0,0,0,0.000111023460209001,0,0
"79","Mud Skate",0,0,0,0,0,0,0,0
"80","Myctophidae",0,0,0,0.00135053384199901,0,0,0,0
"81","Mysid",0,0.000192875955739673,0,0.000731230606245946,0,0,0.00135461566578194,0
"82","N Rock Sole",0,0,0,0,0,0,0,0
"83","Northern Rock",0,0,0,0,0,0,0,0
"84","NP Shrimp",0.020537738709181,0.0151860277861216,0.000322861009725828,0.018403446542131,0,0.0104776270354432,0.0136410137077734,0
"85","Octopus",0,7.16461464749033e-06,0.0253388877070095,0,0,0,0.000106093136440171,0
"86","Offal",0.0187690461271838,0,0.00867160774681097,0.0326739814823739,0,0.396634209175483,0,0
"87","Okhotsk Skate",0,0,0,0,0,0,0,0
"88","Opilo",0,0,0,0,0,0,0,0
"89","Oth pel. smelt",0,0,0,0,0,0,0,0
"90","Oth pel. Smelt",0,0,0,0,0,0,0,0
"91","P. Cod",0,0,0.023991801600368,0,0,0,0,0
"92","P. Halibut",0,0,0,0,0,0,0,0
"93","Pacific Grenadier",0,0,0,0,0,0,0,0
"94","Pandalidae",0.056524466964082,0.124516490252054,0,0.0130592229807071,0,0.0230755851624922,0.0531282337742804,0
"95","Pel Amph",7.75520155701959e-05,0,0,0.0572533176965655,0,0.00739233355990531,0.0706202730642591,0.0154382044281279
"96","Pel. Gel. Filter Feeder",0,0,0,0,0,0,0.118520913390395,0
"97","Polychaete",0,0.00047937222652795,0.00197543917730407,0,0.448098639417536,0.0149443758524149,0.00182146011947652,0
"98","POP",0.437518310934565,0,0.23797069093457,0,0,0,0,0
"99","Prickle squish deep",0,0,0,0,0,0,0,0
"100","Prickle squish round",0,0.00209155165564116,0,0,0,0,0.0117113801489569,0
"101","Protozoan",0,0,0,0,0,0,0,0
"102","Pteropod",0,0,0,0.000378292843508864,0,0.0186804698155187,4.41596819837484e-05,0
"103","Ratfish",0,0,0,0,0,0,0,0
"104","Rex sole",0,0,0,0,0,0,0,0
"105","Rougheye Rock",0,0,0,0,0,0,0,0
"106","S Rock Sole",0,0,0,0,0,0,0,0
"107","Sablefish",0,0,0,0,0,0,0,0
"108","Salmon",0,0,0,0,0,0,0,0
"109","Sandlance",0.0332827474744986,0,0,0,0,0,0,0
"110","Sculpin",0.0133808829587363,0.00346310700923657,0,0,0,0,0,0
"111","Scypho Jellies",0,0,0,0,0,0,0,0
"112","Sea Pens",0,0,0,0,0,0,0,0
"113","Sea Star",0,0.000145300884022785,0,0,0,0,0,0
"114","Sebastes",0,0,0,0,0,0,0,0
"115","Sharpchin Rock",0,0,0,0,0,0,0,0
"116","Shortraker Rock",0,0,0,0,0,0,0,0
"117","Shortsp Thorny",0,0.0626630456918211,0,0,0,0,0,0
"118","Sleeper Shark",0,0,0,0,0,0,0,0
"119","Snail",0,0.00157757399235611,6.04702737134054e-05,0,0,0.0079554066994983,0.000283312495215991,0
"120","Sponge",0,0.000183118929806293,0,0,0,0,0,0
"121","Squid",0.006404784938069,0.00440585711047634,0.000426010588712269,0.050946612847777,0,0.167641238241194,0.00247540575015127,0
"122","Unid Bathyraja",0,0,0,0,0,0,0,0
"123","Unid Chion",0,0,0,0,0,0,0,0
"124","Unid Rajidae",0,0,0,0,0,0,0,0
"125","Urchins dollars cucumbers",0,0,0.00930685902327178,0,0,0,0,0
"126","W. Pollock",0.0415858608965865,0,0.273538366035994,0,0,0,0.0026726979823346,0
"127","Whitebrow Skate",0,0,0,0,0,0,0,0
"128","WhtBlotch Skate",0,0,0,0,0,0,0,0
"129","Widow Rock",0,0,0,0,0,0,0,0
"130","Yellowtail Rock",0,0,0,0,0,0,0,0
"131","YF Sole",0,0,0,0,0,0,0,0
